ID,NationalTeam,IntReputation,NationalNumber
214040,Not in team,1,
213956,Spain,1,20
213951,Not in team,1,
213577,Not in team,1,
213331,Not in team,2,
212419,England,2,15
212213,Not in team,1,
212207,Romania,2,23
211591,Not in team,2,
210930,Not in team,2,
219792,Not in team,2,
220883,Not in team,1,
210736,Italy,2,13
225341,Not in team,1,
227890,Not in team,1,
227678,Not in team,2,
227535,Not in team,2,
227174,Not in team,2,
227055,Not in team,3,
226789,Not in team,2,
226766,Not in team,1,
225719,Not in team,1,
225711,Not in team,2,
225659,Argentina,1,18
225263,Not in team,2,
221697,Not in team,2,
224371,Not in team,1,
224254,Not in team,1,
224069,Not in team,2,
224003,Not in team,1,
223273,Not in team,2,
223053,Not in team,1,
222943,Not in team,1,
222558,Not in team,2,
222493,Not in team,1,
221832,Not in team,1,
210881,Scotland,2,7
228336,Austria,2,10
177633,Not in team,1,
208334,Not in team,2,
171897,Mexico,3,18
175379,Not in team,2,
175254,Not in team,2,
173909,Not in team,3,
173306,Not in team,2,
172962,Not in team,2,
174543,Not in team,3,
208364,Not in team,1,
208920,Not in team,3,
209973,Not in team,2,
210372,Not in team,2,
210537,Not in team,2,
210665,Not in team,2,
176772,Not in team,2,
234730,Not in team,1,
235844,Mexico,1,4
235794,Not in team,1,
235173,Not in team,1,
234833,Not in team,1,
234777,United States,1,1
234772,Not in team,1,
234468,Not in team,1,
234678,Denmark,2,5
234568,Not in team,1,
227275,Not in team,1,
234426,Not in team,1,
236403,Not in team,2,
227476,Not in team,1,
235889,Not in team,1,
236499,Not in team,2,
236441,Not in team,1,
236477,Not in team,2,
227508,Not in team,1,
227528,Not in team,1,
227536,Not in team,2,
227927,Not in team,1,
228295,Not in team,1,
228302,Not in team,1,
228414,Not in team,1,
229167,Not in team,1,
212623,Not in team,1,
212602,Not in team,2,
238041,Netherlands,1,5
237520,Not in team,1,
236786,Not in team,2,
236772,Hungary,1,10
236639,Not in team,2,
236593,Not in team,2,
236532,Not in team,2,
225997,Not in team,1,
236496,Not in team,1,
226637,Not in team,1,
225014,Not in team,2,
225793,Not in team,2,
188988,Not in team,2,
183353,Not in team,1,
183899,Not in team,2,
184703,Not in team,1,
184858,Not in team,1,
185221,Not in team,3,
185239,Not in team,2,
188044,China PR,2,11
188081,Not in team,3,
188103,Not in team,1,
189068,Not in team,3,
181098,Not in team,2,
189250,Not in team,2,
189472,Not in team,1,
190143,Not in team,1,
190149,Not in team,2,
190432,Not in team,1,
190577,Not in team,1,
190875,Not in team,2,
192045,Not in team,1,
192342,Not in team,2,
181820,Not in team,3,
180808,Not in team,1,
193254,Austria,2,16
172114,Not in team,2,
20775,Not in team,3,
49000,Not in team,2,
146748,Not in team,3,
146758,Not in team,3,
152916,Not in team,1,
154472,Not in team,1,
158963,Not in team,3,
165109,Not in team,2,
170597,Netherlands,2,13
172879,Not in team,3,
180714,Not in team,2,
173432,Not in team,1,
173521,Not in team,3,
173608,Not in team,1,
176600,Not in team,3,
177326,Not in team,3,
178250,Not in team,1,
179605,Not in team,2,
179789,Not in team,2,
180334,Not in team,2,
192816,Not in team,1,
193290,Denmark,2,9
225309,Not in team,2,
222709,Not in team,2,
220287,Not in team,1,
220421,Not in team,1,
220502,Not in team,1,
220621,Not in team,1,
221174,Not in team,2,
222357,Not in team,2,
222390,Not in team,1,
222400,Not in team,1,
222509,Not in team,2,
223550,Not in team,1,
220085,Not in team,1,
223874,Not in team,2,
223898,Not in team,2,
224221,Denmark,2,2
224389,Sweden,1,25
224422,Not in team,1,
224574,Mexico,1,10
233531,Not in team,2,
225024,Not in team,1,
225126,Not in team,2,
220132,Not in team,1,
219522,Not in team,1,
193601,Not in team,1,
215071,Not in team,1,
213013,Not in team,1,
213160,Russia,1,11
213655,Not in team,2,
213761,Not in team,2,
213874,Not in team,2,
214009,Not in team,2,
214947,Not in team,1,
214977,Not in team,1,
215057,Not in team,1,
215160,Not in team,1,
219391,Not in team,1,
215441,Not in team,2,
215502,Poland,1,17
216258,Not in team,2,
216435,Not in team,2,
216497,Not in team,2,
217196,Not in team,2,
217877,Not in team,1,
218659,Not in team,1,
219145,Not in team,1,
234128,Not in team,2,
235945,Not in team,1,
233500,Not in team,1,
202851,Not in team,2,
202562,Not in team,2,
202371,Belgium,2,15
202282,Scotland,1,17
201505,Not in team,1,
201454,Not in team,2,
201377,Not in team,2,
201325,Not in team,2,
201315,Not in team,1,
200536,Not in team,2,
200215,Not in team,2,
200094,Russia,1,7
199641,Belgium,2,13
199580,Not in team,1,
199069,Not in team,2,
199005,Australia,1,1
198140,Mexico,1,11
198129,Not in team,1,
198118,Not in team,2,
197948,Not in team,2,
197083,Not in team,2,
196147,Not in team,1,
202789,Not in team,2,
203177,Not in team,1,
212153,Not in team,2,
203487,Not in team,2,
211784,Not in team,1,
211575,Not in team,3,
211454,Not in team,1,
211320,Not in team,2,
211147,Not in team,2,
210864,Not in team,2,
210617,Not in team,2,
209440,Not in team,2,
209288,Not in team,2,
208777,Not in team,2,
208004,Not in team,2,
207948,Not in team,2,
207791,Denmark,2,20
207664,Not in team,3,
232999,United States,2,4
206652,Not in team,2,
206493,Not in team,2,
206075,Not in team,2,
204876,Not in team,1,
204341,Not in team,1,
203757,Not in team,1,
195479,Not in team,1,
195272,Not in team,1,
194958,Australia,1,8
194932,Not in team,2,
243388,Not in team,2,
243647,Not in team,1,
244263,Not in team,1,
244621,Not in team,1,
244892,Not in team,1,
245037,Spain,2,12
245155,Not in team,1,
245158,Not in team,1,
245541,United States,2,7
246172,Not in team,1,
246186,Not in team,1,
246242,Not in team,1,
246420,Not in team,3,
247030,Czech Republic,1,13
247257,Not in team,2,
251116,Czech Republic,1,9
251412,Not in team,1,
252308,Not in team,1,
253109,Not in team,1,
253727,Not in team,1,
254796,Not in team,1,
243282,Not in team,1,
243015,Mexico,1,5
242656,Not in team,1,
239901,Austria,2,21
194806,Not in team,2,
194229,Not in team,2,
194022,Not in team,2,
238160,Not in team,1,
238744,United States,2,8
238857,Not in team,1,
238896,Not in team,1,
239093,Not in team,1,
239482,Not in team,1,
240471,Not in team,1,
241771,Not in team,1,
240690,Not in team,2,
240702,Ukraine,1,9
240740,Not in team,2,
241049,Not in team,1,
241096,Not in team,1,
241184,Not in team,2,
241202,Not in team,1,
241508,Denmark,2,14
241721,Not in team,1,
212067,Not in team,1,
207421,Belgium,1,20
212245,Not in team,2,
230331,Not in team,1,
232440,Not in team,1,
232144,Not in team,2,
212501,Belgium,2,22
232104,Wales,1,10
231633,Not in team,2,
231628,Not in team,1,
231554,Not in team,1,
231521,Argentina,2,14
231318,Not in team,1,
231102,Not in team,2,
230977,Not in team,1,
230965,Not in team,2,
230899,Not in team,1,
230717,Not in team,2,
230431,Not in team,1,
230402,Not in team,1,
230384,Brazil,1,10
230379,Not in team,1,
230371,Not in team,1,
212491,Not in team,1,
230349,Not in team,1,
230346,Not in team,1,
230337,Not in team,1,
232862,Not in team,1,
230269,Not in team,1,
232905,Not in team,1,
229773,Russia,1,14
229752,Not in team,2,
229942,Not in team,2,
229971,Not in team,1,
230043,Not in team,1,
230182,Not in team,1,
230197,Not in team,1,
230241,Not in team,1,
207554,Sweden,1,17
205391,Not in team,1,
205407,Not in team,2,
205566,Not in team,2,
206003,Not in team,1,
206058,Not in team,2,
206306,Not in team,2,
206115,Not in team,1,
206225,Not in team,2,
206304,Not in team,1,
204308,Not in team,1,
206516,Not in team,1,
205346,Not in team,1,
204529,Belgium,2,23
205201,Not in team,1,
202429,Not in team,2,
204277,Not in team,1,
204125,Czech Republic,1,18
204105,Not in team,1,
204077,Not in team,2,
203741,Not in team,1,
203030,Not in team,2,
204691,Not in team,1,
202599,Not in team,2,
202201,Not in team,2,
205186,Not in team,1,
201982,Not in team,2,
201976,Not in team,1,
201956,Not in team,2,
201858,Not in team,2,
246708,Greece,1,7
246785,Not in team,1,
204760,Not in team,1,
205083,Not in team,2,
202685,Not in team,2,
212228,Not in team,1,
212127,Not in team,1,
212204,Not in team,1,
216549,Norway,1,9
216700,Not in team,1,
216939,Not in team,2,
217699,Not in team,3,
219244,Not in team,1,
219681,Not in team,2,
220196,Wales,1,19
220477,Not in team,2,
220570,Poland,1,5
220659,Not in team,1,
220746,Not in team,1,
220831,Not in team,1,
221714,Not in team,1,
221841,Not in team,1,
222368,Not in team,1,
222404,Norway,1,24
222461,Not in team,1,
222515,Not in team,2,
222715,Not in team,2,
223113,Poland,2,23
223154,Not in team,1,
223329,Not in team,2,
223627,Not in team,2,
223690,Not in team,1,
224116,Not in team,1,
224151,Mexico,1,15
224158,Not in team,1,
216433,Not in team,1,
216350,Not in team,1,
216065,Not in team,2,
213135,Not in team,2,
212219,Not in team,2,
212232,Australia,1,9
212242,Not in team,2,
212260,Not in team,2,
212269,Not in team,2,
212300,Not in team,1,
212678,Sweden,2,6
212692,Not in team,1,
212715,Not in team,1,
212811,Not in team,2,
212883,Not in team,1,
212977,Not in team,2,
213388,Not in team,2,
215785,Not in team,2,
214491,Not in team,1,
214781,Not in team,1,
214988,Not in team,1,
215051,Not in team,3,
215064,Not in team,1,
215108,Not in team,1,
215119,Not in team,1,
215270,Not in team,2,
215399,Not in team,1,
215455,Not in team,1,
215689,Not in team,2,
215699,Not in team,2,
206654,Not in team,2,
205211,Canada,1,18
207557,Sweden,1,1
225859,Not in team,2,
224396,Not in team,1,
224520,Not in team,1,
224540,Not in team,1,
224739,Not in team,1,
224869,Not in team,1,
225783,Not in team,1,
225863,Not in team,1,
170320,Not in team,2,
225951,Not in team,2,
226093,Scotland,1,10
226229,Germany,3,4
226268,Not in team,2,
226377,Not in team,2,
226853,Not in team,2,
2147,Not in team,2,
104389,Norway,2,1
143121,Not in team,2,
146296,Not in team,1,
146963,Not in team,2,
151508,Northern Ireland,2,8
152554,Not in team,3,
154950,Russia,2,18
