ID,PreferredFoot,Height,Weight
173221,Right,180,70
162240,Left,185,85
159145,Right,186,86
158121,Right,187,82
156616,Right,170,72
213516,Right,173,63
204234,Right,180,70
216145,Right,183,81
216388,Right,173,67
222028,Right,186,80
216531,Left,188,84
218339,Right,178,68
219789,Right,175,71
219809,Right,189,85
220253,Left,175,69
220523,Right,195,94
220673,Right,185,80
220793,Right,187,79
221491,Right,189,81
214047,Right,182,71
204538,Right,169,66
204259,Right,178,72
210513,Left,169,65
251809,Left,193,81
252371,Right,186,75
255475,Left,174,63
212442,Right,192,84
212404,Left,185,77
212382,Right,201,93
212096,Right,180,76
211748,Left,183,73
211241,Right,170,65
211022,Left,171,71
210897,Right,182,82
210625,Right,184,83
210324,Right,176,73
247204,Right,181,79
210315,Right,180,79
209846,Left,184,83
208165,Right,190,83
208135,Right,184,76
208104,Right,190,84
207566,Right,187,79
207494,Right,175,60
206585,Right,186,88
206545,Right,178,75
206467,Right,181,79
205923,Left,182,76
138412,Right,175,70
247851,Right,182,78
41,Right,171,68
244067,Right,190,88
236480,Right,182,80
243812,Right,174,64
232432,Right,182,85
232580,Left,190,87
232665,Right,175,74
232730,Right,184,76
232756,Right,185,79
233738,Right,181,73
234035,Right,176,66
234236,Left,191,85
234612,Left,175,73
235073,Right,195,88
235688,Right,188,77
206413,Left,181,80
236506,Left,183,78
239433,Right,189,78
236572,Left,176,65
241788,Right,187,83
241637,Right,187,81
240679,Left,183,77
240243,Right,183,76
242516,Right,189,76
239301,Left,178,77
237239,Right,172,64
236632,Left,176,66
237942,Left,175,78
236610,Right,182,72
199576,Right,183,83
24630,Right,188,92
178007,Left,180,79
178088,Left,170,63
203605,Right,182,81
199189,Right,189,76
199206,Right,184,76
198658,Right,176,70
198657,Right,170,70
197837,Right,188,84
146439,Left,186,86
195096,Right,187,82
199915,Right,192,88
152908,Right,175,65
156433,Right,186,85
159261,Right,180,79
163155,Left,193,90
199715,Right,185,79
200155,Right,195,80
200159,Right,185,88
201042,Right,182,71
201417,Right,182,87
201995,Right,175,70
202493,Right,177,70
194222,Right,185,80
195093,Right,189,91
189053,Right,181,74
193469,Left,185,78
187936,Right,196,89
178213,Right,190,80
178224,Right,175,73
178415,Right,178,79
180216,Right,177,77
183394,Right,187,91
184392,Right,182,70
185103,Left,187,81
186197,Left,173,72
199652,Right,181,78
186801,Right,189,83
187607,Right,196,91
188335,Left,190,75
193408,Left,189,85
189125,Right,181,75
189280,Right,175,73
189505,Right,169,65
189606,Right,181,85
189881,Right,194,81
190243,Right,194,89
191180,Right,187,78
192678,Right,186,79
192679,Left,176,72
193171,Left,171,62
193361,Right,182,76
202849,Right,199,96
243559,Right,176,71
203747,Right,178,74
203843,Right,173,68
242187,Right,180,73
241727,Right,191,85
240753,Right,180,72
240699,Right,167,65
239817,Right,188,82
239613,Left,183,75
239380,Right,179,69
238616,Left,172,62
238476,Left,196,90
238463,Right,175,72
238067,Left,190,79
237678,Right,194,95
236791,Left,190,86
236355,Right,187,80
236045,Left,180,73
242201,Right,175,67
243238,Right,176,74
228413,Right,192,83
246147,Left,181,70
244193,Right,176,72
244253,Right,193,81
244467,Right,193,81
244622,Right,177,69
245630,Right,176,69
246104,Right,190,79
246430,Left,190,75
256630,Right,176,70
246646,Right,174,63
246844,Left,174,64
248243,Left,182,68
248695,Right,190,76
252145,Left,176,70
253163,Right,192,91
235353,Right,185,76
234835,Right,190,78
234060,Right,184,77
206651,Right,178,72
230206,Right,169,66
230183,Left,186,73
229909,Right,190,80
208295,Left,188,84
208268,Right,186,80
243630,Right,177,77
206590,Right,176,73
230285,Right,190,88
206534,Left,185,71
205966,Right,168,70
205409,Right,179,79
205192,Right,178,66
204614,Left,170,67
204082,Left,193,78
230212,Left,182,79
230360,Right,176,75
233486,Right,187,81
231352,Right,196,87
232487,Right,178,76
232229,Right,188,76
232080,Left,175,70
231887,Left,185,74
231691,Right,196,90
231410,Right,171,59
231340,Right,175,70
230385,Left,175,72
230460,Left,172,70
230442,Right,187,85
167397,Right,177,72
230440,Right,188,87
230426,Right,170,60
230406,Right,173,72
165229,Right,186,80
228881,Right,177,70
170368,Left,184,80
214097,Right,178,68
219733,Left,197,92
219581,Right,187,83
217546,Left,184,79
217036,Left,179,68
216643,Right,178,65
216320,Right,185,74
216194,Right,180,81
215590,Right,178,72
215353,Right,184,78
214766,Right,185,88
214092,Left,182,67
219985,Right,187,81
214040,Left,174,86
213956,Right,178,72
213951,Right,196,92
213577,Right,183,77
213331,Right,195,98
212419,Left,196,77
212213,Right,173,65
212207,Right,170,63
211591,Right,183,79
210930,Left,170,66
219792,Right,183,73
220883,Right,174,70
210736,Left,176,79
225341,Right,185,72
227890,Left,176,73
227678,Right,183,77
227535,Right,187,78
227174,Right,179,74
227055,Right,173,74
226789,Right,183,71
226766,Right,165,58
225719,Left,185,82
225711,Left,187,79
225659,Right,185,80
225263,Right,192,89
221697,Right,180,70
224371,Left,175,70
224254,Right,174,78
224069,Right,185,74
224003,Right,192,82
223273,Right,188,82
223053,Left,168,71
222943,Left,179,71
222558,Right,184,80
222493,Right,192,81
221832,Left,175,70
210881,Left,178,68
228336,Right,187,77
177633,Right,172,68
208334,Left,185,75
171897,Left,169,67
175379,Right,183,73
175254,Left,183,82
173909,Right,185,77
173306,Right,181,76
172962,Right,177,79
174543,Right,184,80
208364,Right,180,73
208920,Left,180,75
209973,Right,188,88
210372,Left,182,70
210537,Left,170,65
210665,Left,188,87
176772,Right,184,80
234730,Right,175,75
235844,Right,187,73
235794,Right,178,67
235173,Right,191,77
234833,Left,190,88
234777,Right,191,86
234772,Right,175,64
234468,Left,176,67
234678,Right,185,79
234568,Right,181,71
227275,Right,195,95
234426,Left,185,81
236403,Left,192,80
227476,Right,187,82
235889,Left,173,66
236499,Right,175,66
236441,Right,167,66
236477,Right,175,64
227508,Right,183,77
227528,Right,178,73
227536,Right,183,83
227927,Right,174,64
228295,Right,189,75
228302,Left,184,73
228414,Left,175,74
229167,Right,177,73
212623,Right,181,77
212602,Right,186,76
238041,Left,169,67
237520,Right,182,75
236786,Right,184,73
236772,Right,186,74
236639,Right,186,83
236593,Left,187,68
236532,Right,191,83
225997,Right,179,70
236496,Right,185,68
226637,Left,180,75
225014,Right,179,72
225793,Right,183,79
188988,Right,167,59
183353,Right,184,72
183899,Left,163,63
184703,Left,166,68
184858,Right,190,80
185221,Left,187,78
185239,Right,186,83
188044,Right,178,64
188081,Right,173,68
188103,Left,182,76
189068,Right,196,83
181098,Right,180,72
189250,Right,186,86
189472,Right,186,77
190143,Left,182,77
190149,Right,182,78
190432,Right,178,72
190577,Right,168,68
190875,Right,186,84
192045,Right,177,76
192342,Right,183,92
181820,Right,183,79
180808,Right,182,78
193254,Right,189,82
172114,Right,178,73
20775,Right,175,68
49000,Right,183,74
146748,Right,196,89
146758,Right,180,74
152916,Left,180,76
154472,Right,188,72
158963,Right,178,63
165109,Left,183,79
170597,Left,188,74
172879,Right,186,82
180714,Right,195,95
173432,Left,186,75
173521,Left,189,77
173608,Right,192,80
176600,Right,172,70
177326,Right,167,58
178250,Right,179,77
179605,Right,180,76
179789,Right,184,83
180334,Right,191,85
192816,Left,190,82
193290,Right,177,73
225309,Right,180,77
222709,Right,181,77
220287,Right,186,83
220421,Left,168,67
220502,Right,177,63
220621,Right,172,67
221174,Right,179,69
222357,Right,187,88
222390,Right,170,69
222400,Right,176,74
222509,Right,179,68
223550,Right,189,80
220085,Left,181,74
223874,Right,172,70
223898,Left,190,78
224221,Right,192,90
224389,Left,175,68
224422,Right,174,72
224574,Right,169,63
233531,Right,158,55
225024,Right,184,75
225126,Right,185,73
220132,Right,176,69
219522,Right,186,83
193601,Right,186,81
215071,Right,170,69
213013,Left,170,60
213160,Right,182,78
213655,Right,185,75
